_id,site,datetime,stat,BCSTAT,BCSTAT_txt,BP,BP_txt,CO,CO_txt,H2S,H2S_txt,INT_T,INT_T_txt,NO,NO_txt,NO2,NO2_txt,NOX,NOX_txt,NOY,NOY_txt,NOYDIF,NOYDIF_txt,OUT_RH,OUT_RH_txt,OUT_T,OUT_T_txt,OZONE,OZONE_txt,OZONE2,OZONE2_txt,PER_F,PER_F_txt,PER_F2,PER_F2_txt,PM10,PM10_txt,PM10_FL,PM10_FL_txt,PM10B,PM10B_txt,PM25,PM25_txt,PM25(2),PM25(2)_txt,PM25_FL,PM25_FL_txt,PM25B,PM25B_txt,PM25T,PM25T_txt,RWD,RWD_txt,RWS,RWS_txt,SIGTHETA,SIGTHETA_txt,SO2,SO2_txt,SONICWD,SONICWD_txt,SONICWS,SONICWS_txt,UVPM,UVPM_txt
613,Avalon,2016-01-21T00:00:00,Count,,,15,,,,15,,15,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,15,,15,,15,,15,,,
614,Avalon,2016-01-21T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Avalon,2016-01-21T00:00:00,Min,,,746.1,,,,0,,19.9,,,,,,,,,,,,,,-10.4,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,20.5,,0,,264,,1.9,,,
616,Avalon,2016-01-21T00:00:00,Max,,,749.2,,,,0.001,,23.2,,,,,,,,,,,,,,-4.8,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,39,,0.003,,332,,5.4,,,
617,Avalon,2016-01-21T00:00:00,Hr. of Max,,,11,,,,11,,8,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,3,,12,,3,,9,,,
618,Avalon,2016-01-21T00:00:00,Avg,,,747.7,,,,0,,21.4,,,,,,,,,,,,,,-8.6,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,27.7,,0,,289,,3.5,,,
619,Flag Plaza,2016-01-15T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Flag Plaza,2016-01-15T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Flag Plaza,2016-01-15T00:00:00,Min,,,,,0.1,,,,22,,,,,,,,,,,,,,1.9,,,,,,50,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Flag Plaza,2016-01-15T00:00:00,Max,,,,,0.7,,,,22.5,,,,,,,,,,,,,,10.7,,,,,,52,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Flag Plaza,2016-01-15T00:00:00,Hr. of Max,,,,,3,,,,11,,,,,,,,,,,,,,13,,,,,,23,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Flag Plaza,2016-01-15T00:00:00,Avg,,,,,0.3,,,,22.2,,,,,,,,,,,,,,6.5,,,,,,51,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Flag Plaza,2016-01-16T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Flag Plaza,2016-01-16T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Flag Plaza,2016-01-16T00:00:00,Min,,,,,0.1,,,,21.9,,,,,,,,,,,,,,0.4,,,,,,52,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Flag Plaza,2016-01-16T00:00:00,Max,,,,,0.2,,,,22.4,,,,,,,,,,,,,,6,,,,,,53,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Flag Plaza,2016-01-16T00:00:00,Hr. of Max,,,,,22,,,,4,,,,,,,,,,,,,,2,,,,,,23,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Avalon,2016-01-30T00:00:00,Count,,,24,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24,,24,,24,,24,,,
630,Flag Plaza,2016-01-16T00:00:00,Avg,,,,,0.1,,,,22.2,,,,,,,,,,,,,,2.8,,,,,,53,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Flag Plaza,2016-01-17T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
