_id,site,datetime,stat,BCSTAT,BCSTAT_txt,BP,BP_txt,CO,CO_txt,H2S,H2S_txt,INT_T,INT_T_txt,NO,NO_txt,NO2,NO2_txt,NOX,NOX_txt,NOY,NOY_txt,NOYDIF,NOYDIF_txt,OUT_RH,OUT_RH_txt,OUT_T,OUT_T_txt,OZONE,OZONE_txt,OZONE2,OZONE2_txt,PER_F,PER_F_txt,PER_F2,PER_F2_txt,PM10,PM10_txt,PM10_FL,PM10_FL_txt,PM10B,PM10B_txt,PM25,PM25_txt,PM25(2),PM25(2)_txt,PM25_FL,PM25_FL_txt,PM25B,PM25B_txt,PM25T,PM25T_txt,RWD,RWD_txt,RWS,RWS_txt,SIGTHETA,SIGTHETA_txt,SO2,SO2_txt,SONICWD,SONICWD_txt,SONICWS,SONICWS_txt,UVPM,UVPM_txt
10024,Glassport High Street,2016-06-09T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6631,Flag Plaza,2016-04-23T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7017,Lawrenceville 2,2016-04-28T00:00:00,Min,,,,,166.2,,,,22.3,,0,,,,,,3.6,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
7045,Parkway East (Near Road),2016-04-28T00:00:00,Count,24,,24,,13,,,,24,,23,,23,,23,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6559,Flag Plaza,2016-04-22T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6728,Lawrenceville 2,2016-04-24T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7591,Lawrenceville 2,2016-05-06T00:00:00,Count,,,,,23,,,,24,,23,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
8296,Glassport High Street,2016-05-16T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7075,Harrison Township,2016-04-29T00:00:00,Count,,,,,,,,,23,,23,,23,,23,,,,,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7015,Lawrenceville 2,2016-04-28T00:00:00,Count,,,,,23,,,,24,,23,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
8522,Lawrenceville,2016-05-19T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10725,South Fayette,2016-06-18T00:00:00,Min,,,,,,,,,24.4,,,,,,,,,,,,,,17.8,,0.017,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,8,,0,,14,,1.2,,,
7596,Lawrenceville 2,2016-05-06T00:00:00,Avg,,,,,175.2,,,,22.9,,0.6,,,,,,6.5,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
6939,Lawrenceville,2016-04-27T00:00:00,Min,,,735.7,,,,,,21.6,,,,,,,,,,,,41.1,,9.2,,0.016,,0.016,,,,,,,,,,3,,,,,,,,6,,,,1,,,,,,,,,,,,,
7597,Liberty,2016-05-06T00:00:00,Count,,,,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
7598,Liberty,2016-05-06T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7011,Lawrenceville,2016-04-28T00:00:00,Min,,,736,,,,,,21.6,,,,,,,,,,,,36.4,,8.6,,0.006,,0.006,,,,,,,,,,4,,,,,,,,4,,,,2,,,,,,,,,,,,,
7019,Lawrenceville 2,2016-04-28T00:00:00,Hr. of Max,,,,,17,,,,20,,9,,,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
7020,Lawrenceville 2,2016-04-28T00:00:00,Avg,,,,,198.6,,,,23.1,,2,,,,,,13.6,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,
7077,Harrison Township,2016-04-29T00:00:00,Min,,,,,,,,,14.6,,0,,0.002,,0.003,,,,,,,,,,0.008,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6734,Liberty,2016-04-24T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7079,Harrison Township,2016-04-29T00:00:00,Hr. of Max,,,,,,,,,17,,11,,11,,11,,,,,,,,,,15,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6655,Lawrenceville 2,2016-04-23T00:00:00,Count,,,,,23,,,,24,,23,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
6316,Lincoln,2016-04-18T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,57,,214,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,
6318,Lincoln,2016-04-18T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,55,,65,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,
7086,Lawrenceville,2016-04-29T00:00:00,Avg,,,739.5,,,,,,21.8,,,,,,,,,,,,80.3,,11,,0.017,,0.017,,,,,,,,,,12,,,,,,,,11,,,,0,,,,,,,,,,,,,
7599,Liberty,2016-05-06T00:00:00,Min,,,,,,,0,,24.1,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,0,,0,,1.9,,,
7600,Liberty,2016-05-06T00:00:00,Max,,,,,,,0.001,,24.9,,,,,,,,,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,,0.003,,357,,15,,,
6244,Lincoln,2016-04-17T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,53,,202,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,
8138,Avalon,2016-05-14T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,North Braddock,2016-04-26T00:00:00,Hr. of Max,,,23,,,,,,23,,,,,,,,,,,,,,16,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,,3,,21,,17,,,
6520,Liberty,2016-04-21T00:00:00,Max,,,,,,,0.005,,26.4,,,,,,,,,,,,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8,,0.011,,351,,6.7,,,
8137,Avalon,2016-05-14T00:00:00,Count,,,24,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24,,24,,24,,24,,,
8666,Lawrenceville,2016-05-21T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9276,North Braddock,2016-05-29T00:00:00,Avg,,,741.2,,,,,,24.3,,,,,,,,,,,,,,21.7,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,46,,0.002,,83,,2.1,,,
10026,Glassport High Street,2016-06-09T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8302,Harrison Township,2016-05-16T00:00:00,Max,,,,,,,,,22.7,,0.003,,0.022,,0.024,,,,,,,,,,0.047,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6877,Liberty,2016-04-26T00:00:00,Count,,,,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
7405,Parkway East (Near Road),2016-05-03T00:00:00,Count,24,,24,,23,,,,24,,23,,23,,23,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7195,South Fayette,2016-04-30T00:00:00,Count,,,,,,,,,24,,,,,,,,,,,,,,24,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
6328,Parkway East (Near Road),2016-04-18T00:00:00,Max,0,,735.9,,1301.8,,,,22.6,,47.3,,38.4,,85.7,,,,,,66.7,,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6543,Parkway East (Near Road),2016-04-21T00:00:00,Min,0,,725.7,,138.8,,,,21.7,,0,,3.3,,3.4,,,,,,36.4,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6595,Liberty 2,2016-04-22T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,,,24,,24,,24,,,,,,,,,,,,,,,,,,,
6596,Liberty 2,2016-04-22T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,Liberty 2,2016-04-22T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,16,,,,6,,6,,23,,,,,,,,,,,,,,,,,,,
7527,Liberty,2016-05-05T00:00:00,Min,,,,,,,0,,24,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,0.001,,0,,1.4,,,
7455,Liberty,2016-05-04T00:00:00,Min,,,,,,,0,,23.6,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,0,,44,,1,,,
7543,North Braddock,2016-05-05T00:00:00,Count,,,24,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
6312,Liberty 2,2016-04-18T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,69,,,,22,,22,,41,,,,,,,,,,,,,,,,,,,
9167,Harrison Township,2016-05-28T00:00:00,Hr. of Max,,,,,,,,,16,,7,,10,,10,,,,,,,,,,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8459,Lawrenceville 2,2016-05-18T00:00:00,Hr. of Max,,,,,23,,,,10,,7,,,,,,7,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,
9815,Harrison Township,2016-06-06T00:00:00,Hr. of Max,,,,,,,,,18,,8,,22,,22,,,,,,,,,,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8420,South Fayette,2016-05-17T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7168,Liberty,2016-04-30T00:00:00,Max,,,,,,,0,,25.5,,,,,,,,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,0.001,,339,,8.1,,,
6453,Liberty 2,2016-04-20T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,72,,,,1,,0,,43,,,,,,,,,,,,,,,,,,,
10512,South Fayette,2016-06-15T00:00:00,Avg,,,,,,,,,25.9,,,,,,,,,,,,,,23.2,,0.042,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,0.001,,158,,3.7,,,
7522,Lawrenceville 2,2016-05-05T00:00:00,Max,,,,,236,,,,23.7,,3.6,,,,,,18.7,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,
7524,Lawrenceville 2,2016-05-05T00:00:00,Avg,,,,,194.9,,,,22.9,,0.7,,,,,,8.3,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,
8528,Lawrenceville 2,2016-05-19T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10275,Lincoln,2016-06-12T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,66,,-2,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
6181,Parkway East (Near Road),2016-04-16T00:00:00,Count,24,,24,,23,,,,24,,22,,22,,23,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7206,Avalon,2016-05-01T00:00:00,Avg,,,739.2,,,,0,,21.9,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,37.5,,0,,182,,3.7,,,
7273,Avalon,2016-05-02T00:00:00,Count,,,24,,,,23,,23,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24,,23,,24,,24,,,
7274,Avalon,2016-05-02T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6463,North Braddock,2016-04-20T00:00:00,Count,,,24,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
7275,Avalon,2016-05-02T00:00:00,Min,,,737.3,,,,0,,21.4,,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,25.2,,0,,73,,2.2,,,
6250,North Braddock,2016-04-17T00:00:00,Max,,,749.7,,,,,,25.7,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,79.1,,0.032,,358,,4.3,,,
7276,Avalon,2016-05-02T00:00:00,Max,,,739.3,,,,0,,22.4,,,,,,,,,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,74.8,,0,,341,,6.8,,,
8156,Harrison Township,2016-05-14T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6319,North Braddock,2016-04-18T00:00:00,Count,,,24,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
6251,North Braddock,2016-04-17T00:00:00,Hr. of Max,,,8,,,,,,0,,,,,,,,,,,,,,16,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,2,,9,,12,,15,,,
6321,North Braddock,2016-04-18T00:00:00,Min,,,743.2,,,,,,24.6,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,17.9,,0,,18,,0.7,,,
6252,North Braddock,2016-04-17T00:00:00,Avg,,,747.8,,,,,,24.8,,,,,,,,,,,,,,18.3,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,50.3,,0.002,,16,,1.9,,,
7497,Flag Plaza,2016-05-05T00:00:00,Min,,,,,0.2,,,,24.4,,,,,,,,,,,,,,10,,,,,,55,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7851,Avalon,2016-05-10T00:00:00,Min,,,742.7,,,,0,,21.4,,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,23.2,,0,,45,,1.8,,,
7277,Avalon,2016-05-02T00:00:00,Hr. of Max,,,18,,,,23,,23,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,3,,23,,0,,10,,,
8157,Harrison Township,2016-05-14T00:00:00,Min,,,,,,,,,18.4,,0,,0.001,,0.001,,,,,,,,,,0.002,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8197,Parkway East (Near Road),2016-05-14T00:00:00,Count,24,,24,,23,,,,24,,23,,23,,23,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9171,Lawrenceville,2016-05-28T00:00:00,Min,,,740.6,,,,,,22.9,,,,,,,,,,,,35.5,,21.5,,0.002,,0.002,,,,,,,,,,3,,,,,,,,8,,,,0,,,,,,,,,,,,,
10030,Harrison Township,2016-06-09T00:00:00,Max,,,,,,,,,24.4,,0.008,,0.01,,0.019,,,,,,,,,,0.054,,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10933,Parkway East (Near Road),2016-06-21T00:00:00,Count,24,,24,,23,,,,24,,23,,23,,23,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8558,Parkway East (Near Road),2016-05-19T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6706,Flag Plaza,2016-04-24T00:00:00,Max,,,,,0.5,,,,28.7,,,,,,,,,,,,,,22.4,,,,,,49,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6708,Flag Plaza,2016-04-24T00:00:00,Avg,,,,,0.3,,,,27.7,,,,,,,,,,,,,,14.1,,,,,,47,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6713,Glassport High Street,2016-04-24T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6253,Parkway East (Near Road),2016-04-17T00:00:00,Count,24,,24,,23,,,,24,,23,,23,,23,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6255,Parkway East (Near Road),2016-04-17T00:00:00,Min,0,,735.4,,567.6,,,,21.2,,0.9,,9.3,,13.7,,,,,,18.7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7282,Flag Plaza,2016-05-02T00:00:00,Max,,,,,0.3,,,,25.5,,,,,,,,,,,,,,19.4,,,,,,54,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7283,Flag Plaza,2016-05-02T00:00:00,Hr. of Max,,,,,17,,,,1,,,,,,,,,,,,,,10,,,,,,23,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7863,Glassport High Street,2016-05-10T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7868,Harrison Township,2016-05-10T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7284,Flag Plaza,2016-05-02T00:00:00,Avg,,,,,0.2,,,,23.8,,,,,,,,,,,,,,15.9,,,,,,54,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6396,North Braddock,2016-04-19T00:00:00,Avg,,,742.6,,,,,,25.1,,,,,,,,,,,,,,17.3,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,39.9,,0.006,,343,,3.4,,,
6445,Liberty,2016-04-20T00:00:00,Count,,,,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
6718,Harrison Township,2016-04-24T00:00:00,Max,,,,,,,,,24.4,,0.004,,0.024,,0.024,,,,,,,,,,0.059,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8162,Lawrenceville,2016-05-14T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7213,Glassport High Street,2016-05-01T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7548,North Braddock,2016-05-05T00:00:00,Avg,,,731.3,,,,,,24.4,,,,,,,,,,,,,,12,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,32,,0,,334,,3,,,
8163,Lawrenceville,2016-05-14T00:00:00,Min,,,732,,,,,,21.6,,,,,,,,,,,,58.6,,6.8,,0.01,,0.01,,,,,,,,,,-1,,,,,,,,2,,,,6,,,,,,,,,,,,,
9176,Lawrenceville 2,2016-05-28T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,Harrison Township,2016-06-09T00:00:00,Avg,,,,,,,,,20.9,,0,,0.004,,0.005,,,,,,,,,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8161,Lawrenceville,2016-05-14T00:00:00,Count,,,24,,,,,,24,,,,,,,,,,,,24,,24,,24,,24,,,,,,,,,,24,,,,,,,,24,,,,24,,,,,,,,,,,,,
11726,Parkway East (Near Road),2016-07-02T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7280,Flag Plaza,2016-05-02T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9061,Parkway East (Near Road),2016-05-26T00:00:00,Count,24,,24,,22,,,,24,,21,,21,,22,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9673,Lawrenceville,2016-06-04T00:00:00,Count,,,24,,,,,,24,,,,,,,,,,,,24,,24,,24,,24,,,,,,,,,,24,,,,,,,,24,,,,24,,,,,,,,,,,,,
7281,Flag Plaza,2016-05-02T00:00:00,Min,,,,,0.2,,,,21.7,,,,,,,,,,,,,,11.9,,,,,,53,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12020,South Fayette,2016-07-06T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14066,Lawrenceville,2016-08-04T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7223,Harrison Township,2016-05-01T00:00:00,Hr. of Max,,,,,,,,,15,,4,,4,,4,,,,,,,,,,15,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9821,Lawrenceville,2016-06-06T00:00:00,Hr. of Max,,,10,,,,,,17,,,,,,,,,,,,19,,15,,18,,18,,,,,,,,,,18,,,,,,,,15,,,,23,,,,,,,,,,,,,
8957,Lawrenceville,2016-05-25T00:00:00,Hr. of Max,,,10,,,,,,22,,,,,,,,,,,,5,,16,,18,,18,,,,,,,,,,7,,,,,,,,7,,,,3,,,,,,,,,,,,,
6593,Liberty,2016-04-22T00:00:00,Hr. of Max,,,,,,,13,,16,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,22,,23,,,
6460,Lincoln,2016-04-20T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,60,,18,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
6594,Liberty,2016-04-22T00:00:00,Avg,,,,,,,0,,24.8,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,0.001,,285,,4.1,,,
7292,Harrison Township,2016-05-02T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7326,Lincoln,2016-05-02T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,31,,14,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
6974,Parkway East (Near Road),2016-04-27T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6526,Liberty 2,2016-04-21T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,77,,,,24,,24,,46,,,,,,,,,,,,,,,,,,,
6391,North Braddock,2016-04-19T00:00:00,Count,,,24,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
6322,North Braddock,2016-04-18T00:00:00,Max,,,747.1,,,,,,25.7,,,,,,,,,,,,,,26.9,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,76.4,,0.003,,356,,6.2,,,
7874,Lawrenceville,2016-05-10T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6262,South Fayette,2016-04-17T00:00:00,Max,,,,,,,,,30.1,,,,,,,,,,,,,,26.5,,0.074,,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,71.8,,0.001,,358,,7.2,,,
7876,Lawrenceville,2016-05-10T00:00:00,Max,,,744.1,,,,,,21.9,,,,,,,,,,,,86.1,,23.2,,0.039,,0.039,,,,,,,,,,30,,,,,,,,24,,,,357,,,,,,,,,,,,,
6454,Liberty 2,2016-04-20T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,77,,,,5,,5,,45,,,,,,,,,,,,,,,,,,,
7249,Lincoln,2016-05-01T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
6747,Lincoln,2016-04-24T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,60,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
7877,Lawrenceville,2016-05-10T00:00:00,Hr. of Max,,,10,,,,,,9,,,,,,,,,,,,5,,17,,17,,17,,,,,,,,,,11,,,,,,,,6,,,,23,,,,,,,,,,,,,
6748,Lincoln,2016-04-24T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,66,,230,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,
6749,Lincoln,2016-04-24T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,23,,22,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,
6750,Lincoln,2016-04-24T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,63,,40,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,
10435,South Fayette,2016-06-14T00:00:00,Count,,,,,,,,,24,,,,,,,,,,,,,,24,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
7686,Lincoln,2016-05-07T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,34,,21,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
7261,Parkway East (Near Road),2016-05-01T00:00:00,Count,24,,24,,23,,,,24,,23,,23,,23,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7139,Flag Plaza,2016-04-30T00:00:00,Hr. of Max,,,,,22,,,,13,,,,,,,,,,,,,,13,,,,,,23,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6538,North Braddock,2016-04-21T00:00:00,Max,,,740.1,,,,,,25.8,,,,,,,,,,,,,,23.6,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,88.7,,0.007,,336,,4.9,,,
6540,North Braddock,2016-04-21T00:00:00,Avg,,,738,,,,,,24.9,,,,,,,,,,,,,,18.6,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,48.9,,0.001,,274,,2.5,,,
